レベル1,レベル2,レベル3,レベル4,フィールド,フィールド詳細
花火をご覧になるのでしたら、お二階がよろしいですよ。,花火をご覧になるのでしたら、二階はどうでしょうか。,花火をご覧になるなら、高いところがいいと思います。,花火を見る際はお二階がいいよ。,家,
お廊下はゆっくり歩きましょう。,お廊下を走ってはいけませんよ。,廊下は急いで歩いてはいけませんよ。,お廊下は静かに歩こう。,家,
女性の建築家がお宅の家をお建てになったのですか?,女性の建築家に頼んで、お建てになったのですか?,女性の建築家が、立派な家を建てたのでしょうか?,女性の建築家が、大きくて広い家を建てたのですか?,家,
棟梁に建ててもらった木の家を、皆さんにお披露目したいわ。,プロに建ててもらった木造建築を、皆さんにお見せしたいわ。,プロに建ててもらった木造の家を、皆さんに自慢したいわ。,立派な木造建築を、皆さんに見せたいわ。,家,
本店をご改築だそうですね、この不況時に何とも羨ましい。,本店はリニューアルだそうですね、この不況でもすごいです。,本店はリニューアルだそうですね、景気に負けず頑張っていますね。,本店は改装ですね、不況に負けないところがすごい。,家,
ご自宅を改築なさったそうですね。,ご自宅をリフォームなさったそうですね。,自宅を模様替えしたそうですね。,自宅を新装したそうだね。,家,
お店を改装なさるそうですね、思いきりましたね。,お店をリニューアルするそうですね、踏み切りましたね。,お店をリニューアルするそうですね、決心しましたね。,お店を改装するそうだね、よく心に決めた。,家,
築百年の母屋を解体なさるんですか、惜しいですね。,築百年の主屋を取り壊すのですか、残念ですね。,築百年の母家を解体するのですか、寂しいですね。,築百年の母屋を取り壊すの、もったいない。,家,
浴室のご修繕、確かに承りました。,お風呂のご修繕を引き受けました。,お風呂の修繕は自社で決まりですね?,お風呂の修理を引き受けたよ。,家,
地震で傾いた家を修繕なさるのは大変ですね。,地震で斜めになった家を直すのは大変ですね。,地震で傾いた家を元に戻すのは大変ですね。,地震で斜めになった家を建て直すのは大変だね。,家,
都心にご新居をお建てになるとはすごい!,都心にご新居をお建てになるのは驚きです。,都心に住むのは驚きです。,都心にお住まいを決めたのはすごい!,家,
ご新築のお祝いに、お酒をお持ちしました。,ご新築の祝いのお酒を運んできました。,新築のお祝いのお酒をサービスしました。,ご新築のお酒がどう?,家,
いいご普請ですね、総檜でしょう。,いい建築物を建ててますね、総檜でしょう。,立派な建築物を建てていますね、総檜でしょう。,立派な建築物は全て檜で作られたものだね?,家,
そろそろ屋根を普請なさる必要がありますね。,もうすぐ屋根を建て直す必要がありますね。,もうすぐ屋根を点検する必要がありますね。,もうじき屋根の修理が必要だね。,家,
今日はご新居のお下見ですか？,今日はご新居の様子を見にいらっしゃったのですか?,今日はご新居の訪問でしょうか?,今日は新居のご確認?,家,
下見なさるなら、やはり雨の日の方がよろしいでしょうね。,下見する際は、雨の日がいいと思います。,下見するなら天気の悪いときがいいでしょうね。,下見するなら雨降りのときがいいね。,家,
お怒りになるお気持ちは、よく分かります。,怒る気持ちは、十分分かります。,怒る気持ちは、十分理解出来ます。,怒る気分になる気持ちも理解出来るよ。,怒る,
一時間もお待たせして、おいらだちはごもっともです。,一時間も待たせたので怒るのは当然だと思います。,一時間かかったので気持ちが優れないこともあると思います。,一時間かかったのでお怒りになることもあると思う。,怒る,
社長はたいそうお冠ですから、覚悟して行った方がいいですよ。,社長は機嫌が悪いため、覚悟をお願いします。,社長はお怒りになっているため、ご理解下さい。,社長はお怒りになっていることを、分かってほしい。,怒る,
